GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ModelProject,com.ad.sudoku.model.actionevents,SudokuActionEvent,24,0,0,0,8,0,4,0,4,0
ModelProject,com.ad.sudoku.model.dao,Dao,1,0,0,0,1,0,1,0,1,0
ModelProject,com.ad.sudoku.model.dao,FileSudokuBoardListDao,13,74,0,0,4,21,0,5,0,5
ModelProject,com.ad.sudoku.model.dao,JpaSudokuBoardDao,32,104,0,0,10,34,0,5,0,5
ModelProject,com.ad.sudoku.model.dao,FileSudokuBoardDao,13,73,0,0,4,20,0,4,0,4
ModelProject,com.ad.sudoku.model.dao,SudokuBoardDaoFactory,0,26,1,1,0,7,1,5,0,5
ModelProject,com.ad.sudoku.model.exceptions,SudokuFieldException,0,15,0,0,0,4,0,2,0,2
ModelProject,com.ad.sudoku.model.exceptions,SudokuException,4,17,0,0,2,6,0,3,0,3
ModelProject,com.ad.sudoku.model.exceptions,SudokuNullPointerException,0,5,0,0,0,2,0,1,0,1
ModelProject,com.ad.sudoku.model.exceptions,SudokuClassNotFoundException,5,0,0,0,2,0,1,0,1,0
ModelProject,com.ad.sudoku.model.exceptions,SudokuIOexception,0,5,0,0,0,2,0,1,0,1
ModelProject,com.ad.sudoku.model.exceptions,SudokuArrayIndexOutOfBoundsException,13,30,0,0,3,8,1,2,1,2
ModelProject,com.ad.sudoku.model.exceptions,SudokuSQlException,0,5,0,0,0,2,0,1,0,1
ModelProject,com.ad.sudoku.model,SudokuField,12,163,0,12,5,41,3,17,3,11
ModelProject,com.ad.sudoku.model,Difficulty,0,122,0,8,0,23,0,10,0,6
ModelProject,com.ad.sudoku.model,SudokuColumn,4,4,0,0,1,2,1,1,1,1
ModelProject,com.ad.sudoku.model,SudokuRow,0,8,0,0,0,3,0,2,0,2
ModelProject,com.ad.sudoku.model,SudokuGroup,3,106,0,14,2,25,0,13,0,6
ModelProject,com.ad.sudoku.model,SudokuBox,0,8,0,0,0,3,0,2,0,2
ModelProject,com.ad.sudoku.model,SudokuBoard,110,721,11,75,23,131,11,57,4,21
ModelProject,com.ad.sudoku.model.solvers,BacktrackingSudokuSolver,2,214,1,49,1,47,1,31,0,7
